model,mean,std,ticker
EGARCH,0.1852055608609931,0.18207773711498354,MU
HAR-RV,0.2479378013528529,0.20994698058339306,MU
Persistence,0.24867056962150652,0.21479817923491396,MU
RandomForest,0.3639584747627439,0.2550774655823565,MU
StackingEnsemble,0.02095284228282837,,MU
XGBoost,0.3956506413667933,0.3297165072700299,MU
EGARCH,0.2576275880699549,0.09971907436596479,NVDA
HAR-RV,0.22663156481244062,0.1382550593880826,NVDA
Persistence,0.3146899718891923,0.24257434237721842,NVDA
RandomForest,0.3220781351834858,0.12969425409016255,NVDA
StackingEnsemble,0.018640677458468008,,NVDA
XGBoost,0.3056207896704431,0.09297450850430519,NVDA
EGARCH,0.22207453361620383,0.14611865126782864,AMD
HAR-RV,0.316962438292298,0.1983192817352311,AMD
Persistence,0.48264165673279125,0.3051614465213997,AMD
RandomForest,0.26786206645990074,0.15500665936179728,AMD
StackingEnsemble,0.1626657560955864,,AMD
XGBoost,0.28453733246449897,0.1571027852460829,AMD
EGARCH,0.2581832867386555,0.15884963659042556,JPM
HAR-RV,0.30864993394485446,0.2378823087431982,JPM
Persistence,0.38940410811438964,0.27269071505720754,JPM
RandomForest,0.3139622681497698,0.1865733267367452,JPM
StackingEnsemble,0.02071466427588641,,JPM
XGBoost,0.3066715891609862,0.1777939089397295,JPM
EGARCH,0.2696770095772882,0.16849580900508834,BAC
HAR-RV,0.23644872447876203,0.18687417544603033,BAC
Persistence,0.3633716532468236,0.2289227340594597,BAC
RandomForest,0.26102286299742683,0.20299458405543103,BAC
StackingEnsemble,0.164026508546359,,BAC
XGBoost,0.24667652703827242,0.16278979195635535,BAC
EGARCH,0.16298379584230194,0.14127803564489075,XOM
HAR-RV,0.15379561146528858,0.12769404118277336,XOM
Persistence,0.18592956191005805,0.15601883193421245,XOM
RandomForest,0.2164611048996583,0.17672001123287726,XOM
StackingEnsemble,0.037857369489328455,,XOM
XGBoost,0.22361020861658618,0.185909220478144,XOM
EGARCH,0.3180571728630121,0.28255214221776476,AAPL
HAR-RV,0.38141631684575733,0.3406256488937692,AAPL
Persistence,0.531325845289965,0.41084880759796555,AAPL
RandomForest,0.3648195397293441,0.43863400857441137,AAPL
StackingEnsemble,0.04551478457183135,,AAPL
XGBoost,0.38003184628356246,0.4456314511583018,AAPL
EGARCH,0.2674846442958999,0.1466668736462357,MSFT
HAR-RV,0.34587004126585946,0.25502508216655473,MSFT
Persistence,0.48573299482938304,0.3392215083300923,MSFT
RandomForest,0.2815566611565132,0.22314828390593128,MSFT
StackingEnsemble,0.1544841955900089,,MSFT
XGBoost,0.2896786252848297,0.21452355234019344,MSFT
